,date,product,category,price,quantity,revenue,quarter
0,2022-01-01,Smartphone,Electronics,600.0,10.0,6000.0,1
1,2022-01-01,Laptop,Electronics,1200.0,5.0,6000.0,1
2,2022-01-02,T-Shirt,Clothing,20.0,50.0,1000.0,1
3,2022-01-03,Headphones,Electronics,100.0,20.0,2000.0,1
4,2022-01-04,T-Shirt,Clothing,20.0,25.0,500.0,1
5,2022-01-05,Watch,Accessories,150.0,10.0,1500.0,1
6,2022-01-06,Smartphone,Electronics,600.0,8.0,4800.0,1
7,2022-01-06,Tablet,Electronics,400.0,5.0,2000.0,1
8,2022-01-07,Coat,Clothing,100.0,10.0,1000.0,1
9,2022-01-08,Smartwatch,Accessories,200.0,12.0,2400.0,1
10,2022-01-09,Speaker,Electronics,80.0,15.0,1200.0,1
11,2022-01-10,Backpack,Bags,50.0,20.0,1000.0,1
12,2022-01-11,Hoodie,Clothing,40.0,30.0,1200.0,1
13,2022-01-12,Smartphone,Electronics,600.0,12.0,7200.0,1
14,2022-01-13,Sneakers,Shoes,80.0,10.0,800.0,1
15,2022-01-14,Wallet,Accessories,30.0,40.0,1200.0,1
16,2022-01-15,Jeans,Clothing,50.0,20.0,1000.0,1
17,2022-01-16,Smartwatch,Accessories,200.0,5.0,1000.0,1
18,2022-01-17,Smartphone,Electronics,600.0,6.0,3600.0,1
19,2022-01-18,Coat,Clothing,100.0,8.0,800.0,1
20,2022-01-19,Speaker,Electronics,80.0,20.0,1600.0,1
21,2022-01-20,Backpack,Bags,50.0,15.0,750.0,1
22,2022-01-21,T-Shirt,Clothing,20.0,40.0,800.0,1
23,2022-01-22,Smartphone,Electronics,600.0,7.0,4200.0,1
24,2022-01-23,Tablet,Electronics,400.0,3.0,1200.0,1
25,2022-01-24,Hoodie,Clothing,40.0,15.0,600.0,1
26,2022-01-25,Smartwatch,Accessories,200.0,8.0,1600.0,1
27,2022-01-26,Sneakers,Shoes,80.0,12.0,960.0,1
28,2022-01-27,Coat,Clothing,100.0,5.0,500.0,1
29,2022-01-28,Speaker,Electronics,80.0,8.0,640.0,1
30,2022-01-29,T-Shirt,Clothing,20.0,30.0,600.0,1
31,2022-01-30,Smartphone,Electronics,600.0,9.0,5400.0,1
32,2022-01-31,Jeans,Clothing,50.0,15.0,750.0,1
33,2022-02-01,T-Shirt,Clothing,20.0,35.0,700.0,1
34,2022-02-02,Smartphone,Electronics,600.0,10.0,6000.0,1
35,2022-02-03,Headphones,Electronics,100.0,25.0,2500.0,1
36,2022-02-04,Coat,Clothing,100.0,12.0,1200.0,1
37,2022-02-05,Watch,Accessories,150.0,8.0,1200.0,1
38,2022-02-06,Smartphone,Electronics,600.0,7.0,4200.0,1
39,2022-02-07,Speaker,Electronics,80.0,18.0,1440.0,1
40,2022-02-08,Backpack,Bags,50.0,25.0,1250.0,1
41,2022-02-09,Smartwatch,Accessories,200.0,6.0,1200.0,1
42,2022-02-10,Jeans,Clothing,50.0,10.0,500.0,1
43,2022-02-11,T-Shirt,Clothing,20.0,20.0,400.0,1
44,2022-02-12,Smartphone,Electronics,600.0,12.0,7200.0,1
45,2022-02-13,Sneakers,Shoes,80.0,8.0,640.0,1
46,2022-02-14,Wallet,Accessories,30.0,30.0,900.0,1
47,2022-02-15,Tablet,Electronics,400.0,4.0,1600.0,1
48,2022-02-16,Smartwatch,Accessories,200.0,7.0,1400.0,1
49,2022-02-17,Smartphone,Electronics,600.0,6.0,3600.0,1
50,2022-02-18,Hoodie,Clothing,40.0,20.0,800.0,1
51,2022-02-19,Speaker,Electronics,80.0,12.0,960.0,1
52,2022-02-20,Backpack,Bags,50.0,18.0,900.0,1
53,2022-02-21,Sneakers,Shoes,80.0,5.0,400.0,1
54,2022-02-22,Smartphone,Electronics,600.0,8.0,4800.0,1
55,2022-02-23,Coat,Clothing,100.0,6.0,600.0,1
56,2022-02-24,T-Shirt,Clothing,20.0,15.0,300.0,1
57,2022-02-25,Smartwatch,Accessories,200.0,10.0,2000.0,1
58,2022-02-26,Jeans,Clothing,50.0,18.0,900.0,1
59,2022-02-27,Smartphone,Electronics,600.0,9.0,5400.0,1
60,2022-02-28,Watch,Accessories,150.0,5.0,750.0,1
61,2022-03-01,T-Shirt,Clothing,20.0,40.0,800.0,1
62,2022-03-02,Smartphone,Electronics,600.0,10.0,6000.0,1
63,2022-03-03,Headphones,Electronics,100.0,15.0,1500.0,1
64,2022-03-04,Coat,Clothing,100.0,20.0,2000.0,1
65,2022-03-05,Smartwatch,Accessories,200.0,12.0,2400.0,1
66,2022-03-06,Smartphone,Electronics,600.0,7.0,4200.0,1
67,2022-03-07,Speaker,Electronics,80.0,10.0,800.0,1
68,2022-03-08,Backpack,Bags,50.0,15.0,750.0,1
69,2022-03-09,Jeans,Clothing,50.0,25.0,1250.0,1
70,2022-03-10,T-Shirt,Clothing,20.0,30.0,600.0,1
71,2022-03-11,Hoodie,Clothing,40.0,10.0,400.0,1
72,2022-03-12,Smartphone,Electronics,600.0,12.0,7200.0,1
73,2022-03-13,Sneakers,Shoes,80.0,15.0,1200.0,1
74,2022-03-14,Wallet,Accessories,30.0,40.0,1200.0,1
75,2022-03-15,Smartwatch,Accessories,200.0,5.0,1000.0,1
76,2022-03-16,Smartphone,Electronics,600.0,6.0,3600.0,1
77,2022-03-17,Coat,Clothing,100.0,8.0,800.0,1
78,2022-03-18,Speaker,Electronics,80.0,20.0,1600.0,1
79,2022-03-19,Backpack,Bags,50.0,10.0,500.0,1
80,2022-03-20,T-Shirt,Clothing,20.0,25.0,500.0,1
81,2022-03-21,Tablet,Electronics,400.0,3.0,1200.0,1
82,2022-03-22,Smartphone,Electronics,600.0,7.0,4200.0,1
83,2022-03-23,Sneakers,Shoes,80.0,12.0,960.0,1
84,2022-03-24,T-Shirt,Clothing,20.0,15.0,300.0,1
85,2022-03-25,Smartwatch,Accessories,200.0,8.0,1600.0,1
86,2022-03-26,Jeans,Clothing,50.0,20.0,1000.0,1
87,2022-03-27,Smartphone,Electronics,600.0,9.0,5400.0,1
88,2022-03-28,Watch,Accessories,150.0,10.0,1500.0,1
89,2022-03-29,Coat,Clothing,100.0,5.0,500.0,1
90,2022-03-30,Headphones,Electronics,100.0,10.0,1000.0,1
91,2022-03-31,Smartphone,Electronics,600.0,11.0,6600.0,1
92,2022-04-01,Hoodie,Clothing,40.0,30.0,1200.0,2
93,2022-04-02,Smartphone,Electronics,600.0,10.0,6000.0,2
94,2022-04-03,Speaker,Electronics,80.0,25.0,2000.0,2
95,2022-04-04,Coat,Clothing,100.0,15.0,1500.0,2
96,2022-04-05,Smartwatch,Accessories,200.0,10.0,2000.0,2
97,2022-04-06,Smartphone,Electronics,600.0,7.0,4200.0,2
98,2022-04-07,Backpack,Bags,50.0,18.0,900.0,2
99,2022-04-08,T-Shirt,Clothing,20.0,35.0,700.0,2
100,2022-04-09,Jeans,Clothing,50.0,10.0,500.0,2
101,2022-04-10,Watch,Accessories,150.0,12.0,1800.0,2
102,2022-04-11,Hoodie,Clothing,40.0,20.0,800.0,2
103,2022-04-12,Smartphone,Electronics,600.0,12.0,7200.0,2
104,2022-04-13,Sneakers,Shoes,80.0,8.0,640.0,2
105,2022-04-14,Wallet,Accessories,30.0,30.0,900.0,2
106,2022-04-15,Smartwatch,Accessories,200.0,5.0,1000.0,2
107,2022-04-16,Smartphone,Electronics,600.0,6.0,3600.0,2
108,2022-04-17,Coat,Clothing,100.0,8.0,800.0,2
109,2022-04-18,Speaker,Electronics,80.0,20.0,1600.0,2
110,2022-04-19,Backpack,Bags,50.0,15.0,750.0,2
111,2022-04-20,T-Shirt,Clothing,20.0,20.0,400.0,2
112,2022-04-21,Tablet,Electronics,400.0,6.0,2400.0,2
113,2022-04-22,Smartphone,Electronics,600.0,7.0,4200.0,2
114,2022-04-23,Sneakers,Shoes,80.0,12.0,960.0,2
